ID,AGE,GENDER,PRE_SCORE,POST_SCORE,GROUP
1,47,2,42.62,43.19,1
2,48,2,43.58,51.97,2
3,31,2,52.76,59.33,1
4,21,1,53.82,62.93,2
5,24,2,54.58,60.59,1
6,31,2,47.69,52.69,2
7,40,2,53.63,62.08,1
8,49,2,46.09,52.41,2
9,27,1,43.14,49.56,1
10,48,1,49.97,49.40,2
11,51,2,44.61,50.33,1
12,19,2,56.06,66.04,2
13,,2,65.82,70.74,1
14,40,1,32.63,37.62,2
15,39,1,36.39,40.98,1
16,30,1,39.32,40.72,2
17,32,1,55.47,.,1
18,51,2,38.06,43.47,2
19,19,2,51.53,54.94,1
20,56,2,50.91,48.02,2
21,40,2,56.12,63.75,1
22,48,1,51.80,55.39,2
23,57,1,57.82,58.05,1
24,59,1,51.50,58.52,2
25,42,1,46.52,50.03,1
26,,2,50.69,64.96,2
27,64,2,60.03,59.61,1
28,23,1,53.03,60.03,2
29,27,2,53.65,60.44,1
30,56,2,45.78,49.74,2
31,53,1,43.80,56.90,1
32,64,1,51.92,48.73,2
33,45,1,46.90,54.17,1
34,34,1,45.11,.,2
35,55,2,48.42,57.28,1
36,26,1,49.51,59.67,2
37,47,2,56.31,60.31,1
38,26,1,57.65,56.39,2
39,,2,48.46,54.35,1
40,27,1,51.82,52.41,2
41,25,1,57.00,67.32,1
42,53,2,45.56,55.85,2
43,53,1,50.81,54.96,1
44,24,2,50.06,59.28,2
45,22,2,37.49,40.93,1
46,56,1,40.15,55.72,2
47,52,2,46.91,48.80,1
48,51,2,43.97,49.83,2
49,30,2,64.95,67.01,1
50,46,2,52.65,60.20,2
51,22,1,55.33,.,1
52,,2,52.61,60.42,2
53,27,2,33.33,44.49,1
54,47,1,62.96,68.92,2
55,49,1,46.44,59.99,1
56,28,2,49.04,59.10,2
57,44,1,49.70,54.60,1
58,41,1,52.76,56.43,2
59,63,1,57.54,59.93,1
60,36,1,56.42,69.22,2
